Passive_Agent_Net_Worth,	 Passive_Agent_Shares,	active_0Net_Worth,	 active_0Shares,	 active_1Net_Worth,	 active_1Shares,	 active_2Net_Worth,	 active_2Shares,	 active_3Net_Worth,	 active_3Shares,	 active_4Net_Worth,	 active_4Shares,	 active_5Net_Worth,	 active_5Shares,	 active_6Net_Worth,	 active_6Shares,	 active_7Net_Worth,	 active_7Shares,	 active_8Net_Worth,	 active_8Shares,	 active_9Net_Worth,	 active_9Shares,	 active_10Net_Worth,	 active_10Shares,	 active_11Net_Worth,	 active_11Shares,	 active_12Net_Worth,	 active_12Shares,	 active_13Net_Worth,	 active_13Shares,	 active_14Net_Worth,	 active_14Shares,	 active_15Net_Worth,	 active_15Shares,	 active_16Net_Worth,	 active_16Shares,	 active_17Net_Worth,	 active_17Shares,	 active_18Net_Worth,	 active_18Shares,	 active_19Net_Worth,	 active_19Shares,	 
103015.6085024536,	 56,	 102604.03984536298,	 55,	 102854.57102206934,	 56,	 102803.01176607735,	 56,	 102806.73045614528,	 56,	 102970.0959265087,	 56,	 101427.6118215221,	 55,	 103112.34547790035,	 56,	 102859.41161371482,	 55,	 102743.40997557856,	 55,	 102856.98964132613,	 56,	 102747.03119206753,	 56,	 102787.84200604624,	 56,	 102137.3846327157,	 55,	 102711.35490930064,	 55,	 102787.33275015172,	 56,	 102873.41360664502,	 56,	 102729.80221906453,	 56,	 102674.83591890382,	 56,	 102995.19253097169,	 56,	 102995.97952295397,	 56,	 
103189.74739316701,	 56,	 102584.69255788023,	 55,	 102980.68118908777,	 56,	 102910.26739555706,	 56,	 102886.27329023852,	 56,	 102990.94296190618,	 56,	 101278.5400496181,	 55,	 103104.5348251468,	 56,	 102908.14305285919,	 56,	 102738.22532089379,	 55,	 102917.5257618476,	 56,	 102705.20030189256,	 56,	 102800.46670456807,	 56,	 102180.19775337933,	 55,	 102602.83581381642,	 55,	 102764.75684309672,	 56,	 102851.40523579268,	 56,	 102894.07921972331,	 56,	 102796.53049329709,	 56,	 103050.03442075753,	 56,	 102930.8741293093,	 56,	 
102910.94545346352,	 56,	 102356.35138808649,	 55,	 102600.00284905756,	 56,	 102632.53895744131,	 56,	 102707.334007693,	 56,	 102701.89290374218,	 56,	 101128.45002253888,	 55,	 102890.970797238,	 56,	 102615.40346563079,	 56,	 102446.35597745334,	 55,	 102625.18640154475,	 56,	 102456.16777404335,	 56,	 102535.70894586144,	 56,	 101966.05443443972,	 55,	 102380.42875835381,	 55,	 102477.29248321187,	 56,	 102571.23288258596,	 56,	 102648.21786647532,	 56,	 102590.90414974981,	 56,	 102674.30293015172,	 56,	 102612.65686961496,	 56,	 
103180.50921841995,	 56,	 102540.6605075772,	 55,	 102996.67071067414,	 56,	 102998.65104836223,	 56,	 103065.64657295492,	 56,	 103143.90613517778,	 56,	 101507.55235299082,	 55,	 103330.5499620432,	 56,	 102918.52180751406,	 56,	 103076.08230960551,	 55,	 103031.05480946276,	 56,	 102795.26710647742,	 56,	 102753.80580937579,	 56,	 102207.6730515028,	 55,	 102715.72615222167,	 55,	 102792.29159699086,	 56,	 103172.60898642475,	 56,	 103001.44176904029,	 56,	 102878.75914619681,	 56,	 103167.04592809596,	 56,	 102901.2515113879,	 56,	 
103392.30594874432,	 56,	 102673.93045585157,	 55,	 103328.70218837674,	 56,	 103027.20952738915,	 56,	 103010.64028992645,	 56,	 103147.40338444986,	 56,	 101633.67776056967,	 55,	 103411.14823463759,	 56,	 103076.22520179345,	 56,	 103131.63822656516,	 55,	 103239.22643672429,	 56,	 103030.34448835829,	 56,	 103057.19967009123,	 56,	 102511.5751919319,	 55,	 102734.36599335865,	 55,	 102950.77557998302,	 56,	 103194.87823971412,	 56,	 103003.52256347613,	 56,	 103104.42543074858,	 56,	 103315.22760662812,	 56,	 103270.93203122004,	 56,	 
103438.64210509363,	 56,	 102720.75852036806,	 55,	 103339.60609788267,	 56,	 103201.41167067009,	 56,	 103134.03792843877,	 56,	 103346.11415091199,	 56,	 101393.1057214902,	 55,	 103243.0601463521,	 56,	 103113.64643124487,	 56,	 103057.01548229967,	 55,	 103113.56440250881,	 56,	 102905.13865833316,	 56,	 103044.88495661084,	 56,	 102363.94837617844,	 55,	 102861.9441313766,	 55,	 102911.92263673081,	 56,	 102986.66576182084,	 56,	 103229.16401202808,	 56,	 102877.19400172881,	 56,	 103139.45906655496,	 56,	 103362.4639850356,	 56,	 
103736.03711911291,	 56,	 102950.20247416876,	 55,	 103468.60792186252,	 56,	 102998.78293296284,	 56,	 103521.17713803553,	 56,	 103373.90155741968,	 56,	 101614.54749463343,	 55,	 103573.81342300189,	 56,	 103495.75609014613,	 56,	 103372.8677984032,	 55,	 103209.21409291207,	 56,	 103381.68530366597,	 56,	 103217.61087576857,	 56,	 102739.91969707409,	 55,	 103169.25314330375,	 55,	 103135.89823180615,	 56,	 103252.76436629263,	 56,	 103260.53423979449,	 56,	 103249.62417967888,	 56,	 103618.92788761048,	 56,	 103600.02157820872,	 56,	 
102377.86666465017,	 56,	 101891.29666884337,	 55,	 102320.26375757925,	 56,	 102213.53642611617,	 56,	 102271.44141300695,	 56,	 102355.4638337225,	 56,	 100558.52986990173,	 55,	 102379.14893633575,	 56,	 102125.68561090977,	 56,	 102145.54181372763,	 55,	 102288.09397666204,	 56,	 102051.99693211574,	 56,	 102010.32950996443,	 56,	 101516.94041864765,	 55,	 101830.25100775225,	 55,	 102075.62075484262,	 56,	 102128.18143203716,	 56,	 102170.92897172978,	 56,	 102067.72665367393,	 56,	 102354.90367615772,	 56,	 102339.6779470838,	 56,	 
103561.36097416448,	 56,	 102086.85188205745,	 55,	 103328.9887042646,	 56,	 103142.1383323266,	 56,	 103364.9519140831,	 56,	 103234.90653625963,	 56,	 101063.37185329414,	 55,	 102996.11834889158,	 56,	 102703.28787256348,	 56,	 102741.79502189116,	 56,	 102489.00810453428,	 56,	 102440.87782870012,	 56,	 102733.68235181604,	 56,	 102308.11716404487,	 55,	 102684.79917913498,	 55,	 102231.61359103603,	 56,	 102829.36380300998,	 56,	 102527.64090360163,	 56,	 103100.32608227301,	 56,	 102635.68742782749,	 56,	 102477.22984701932,	 56,	 
103721.79805727638,	 56,	 103500.31470015507,	 55,	 103880.01977352971,	 56,	 103683.56340463717,	 56,	 103661.8117844402,	 56,	 103976.22722429172,	 56,	 102156.52032290192,	 55,	 103905.81243671311,	 56,	 103628.54108442758,	 56,	 103646.08148101273,	 56,	 103656.5042706354,	 56,	 103539.92127782358,	 56,	 103538.41670179453,	 56,	 102840.579691786,	 55,	 103566.9678486743,	 55,	 103691.13832953891,	 56,	 103554.58782322712,	 56,	 103452.77373703937,	 56,	 103705.73221722395,	 56,	 103898.89640269024,	 56,	 103911.4621907741,	 56,	 
